Plotcode,Brorub,Brotec,Erocic,Schbar,Cover,Species
SNP001,0.39,0.00,0.99,1.43,2.81,3
SNP002,0.29,0.00,1.33,3.99,5.61,3
SNP003,0.21,0.00,0.49,4.05,4.75,3
SNP004,0.29,0.00,2.95,9.77,13.01,3
SNP005,0.03,0.01,0.00,7.49,7.53,3
SNP006,0.11,0.00,0.04,0.45,0.60,3
SNP007,0.13,0.00,0.00,0.66,0.79,2
SNP008,0.31,0.00,0.00,0.41,0.72,2
SNP009,0.54,0.00,4.21,2.95,7.70,3
SNP010,1.82,0.00,8.85,2.48,13.15,3
SNP011,5.28,0.00,5.81,1.66,12.75,3
SNP012,1.69,0.00,6.33,1.59,9.61,3
SNP013,0.15,0.00,0.00,0.00,0.15,1
SNP014,1.16,0.00,0.00,0.00,1.16,1
SNP016,0.16,0.00,0.00,0.01,0.17,2
SNP017,0.45,0.00,0.00,0.19,0.64,2
SNP018,0.27,0.00,0.04,0.11,0.42,3
SNP019,0.16,0.00,0.00,0.21,0.37,2
SNP020,0.46,0.00,0.01,0.23,0.70,3
SNP021,0.49,0.05,0.00,0.00,0.54,2
SNP022,0.11,0.32,0.00,0.00,0.43,2
SNP023,0.62,0.00,0.00,0.00,0.62,1
SNP024,0.44,0.00,0.00,0.00,0.44,1
SNP025,0.50,0.00,0.00,0.00,0.50,1
SNP026,0.04,0.00,0.00,0.00,0.04,1
SNP027,5.14,0.14,0.00,0.00,5.28,2
SNP028,1.08,0.01,0.00,0.00,1.09,2
SNP029,0.23,0.00,0.00,0.00,0.23,1
SNP030,0.02,0.00,0.00,0.00,0.02,1
SNP031,0.00,0.00,0.00,0.00,0.00,0
SNP032,0.09,0.00,0.00,0.00,0.09,1
SNP033,0.00,0.00,0.00,3.93,3.93,1
SNP034,0.88,0.00,0.40,2.28,3.56,3
SNP035,0.03,0.00,0.27,2.62,2.92,3
SNP036,0.00,0.00,0.00,2.43,2.43,1
SNP037,0.00,0.47,0.00,0.00,0.47,1
SNP038,0.00,0.57,0.00,0.00,0.57,1
SNP039,0.00,0.53,0.13,0.00,0.66,2
SNP040,0.00,2.69,0.00,0.00,2.69,1
SNP041,0.00,0.18,0.00,0.00,0.18,1
SNP042,0.00,0.75,0.00,0.00,0.75,1
SNP043,0.00,0.48,0.00,0.00,0.48,1
SNP044,0.00,3.00,0.00,0.00,3.00,1
SNP045,0.00,0.01,0.00,0.00,0.01,1
SNP046,0.00,0.00,0.00,0.00,0.00,0
SNP047,0.00,0.00,0.00,0.00,0.00,0
SNP048,0.00,0.03,0.00,0.00,0.03,1
SNP049,0.00,0.00,0.00,0.00,0.00,0
SNP050,0.00,0.00,0.00,0.00,0.00,0
SNP051,0.00,0.00,0.00,0.00,0.00,0
SNP052,0.00,0.93,0.00,0.00,0.93,1
SNP053,0.00,0.00,0.00,0.00,0.00,0
SNP054,0.00,0.08,0.00,0.09,0.17,2
SNP055,0.00,0.02,0.00,0.00,0.02,1
SNP056,0.00,0.63,0.00,0.00,0.63,1
SNP057,0.00,0.04,0.00,0.00,0.04,1
SNP058,0.01,6.25,0.00,0.00,6.26,2
SNP059,0.00,0.68,0.00,0.00,0.68,1
SNP060,0.00,0.00,0.00,0.00,0.00,0
SNP061,0.48,0.21,0.00,0.00,0.69,2
SNP062,0.61,0.25,0.00,0.00,0.86,2
SNP063,0.27,0.73,0.00,0.00,1.00,2
SNP064,0.00,0.47,0.00,0.00,0.47,1
SNP101,0.00,0.06,6.76,0.00,6.82,2
SNP102,1.59,0.21,0.00,0.00,1.80,2
SNP103,9.80,0.00,2.21,0.00,12.01,2
SNP104,5.00,0.00,17.77,0.00,22.77,2
SNP105,0.00,0.00,0.23,0.00,0.23,1
SNP106,0.27,0.00,0.06,0.00,0.33,2
SNP107,0.00,14.20,0.11,0.00,14.31,2
SNP108,0.00,4.26,0.00,0.00,4.26,1
SNP110,24.20,2.71,11.40,0.00,38.31,3
SNP111,0.00,1.20,8.80,0.00,10.00,2
SNP112,1.62,4.73,0.43,0.00,6.78,3
SNP113,0.00,23.27,3.77,0.00,27.04,2
SNP114,0.02,0.00,0.10,0.00,0.12,2
SNP116,0.39,0.18,0.00,0.00,0.57,2
SNP117,0.00,8.80,0.00,0.00,8.80,1
SNP120,1.73,0.00,14.40,0.00,16.13,2
SNP121,0.00,7.53,0.98,0.00,8.51,2
SNP122,0.00,10.20,0.00,0.00,10.20,1
SNP123,0.51,0.00,0.00,0.00,0.51,1
SNP124,0.64,0.00,0.00,0.00,0.64,1
SNP125,0.00,2.91,0.00,0.00,2.91,1
SNP126,0.00,4.43,0.00,0.00,4.43,1
SNP128,5.69,0.00,5.02,0.00,10.71,2
SNP130,0.03,4.67,0.00,0.00,4.70,2
SNP131,0.00,7.93,0.07,0.00,8.00,2
SNP133,0.49,1.87,0.00,0.00,2.36,2
SNP134,1.53,0.00,0.47,0.05,2.05,3
SNP136,8.42,0.00,2.23,0.00,10.65,2
SNP139,0.00,20.07,0.24,0.00,20.31,2
SNP140,0.00,13.47,0.09,0.00,13.56,2
SNP141,1.05,0.00,0.00,0.00,1.05,1
SNP142,0.00,13.44,0.00,0.00,13.44,1
SNP143,0.00,0.00,0.43,0.00,0.43,1
SNP144,0.00,2.05,0.00,0.00,2.05,1
SNP145,0.73,0.00,0.00,0.00,0.73,1
SNP147,2.49,0.00,0.00,0.01,2.50,2
SNP151,0.00,3.67,9.40,0.00,13.07,2
SNP152,4.99,0.00,10.33,0.00,15.32,2
SNP153,0.00,9.73,0.03,0.00,9.76,2
SNP154,0.00,7.07,0.00,0.00,7.07,1
SNP155,12.95,0.00,8.02,0.05,21.02,3
SNP156,0.00,13.67,0.05,0.00,13.72,2
SNP157,1.95,0.00,0.00,0.00,1.95,1
SNP158,0.67,0.00,6.82,0.00,7.49,2
SNP160,0.00,1.85,0.00,0.00,1.85,1
SNP161,3.46,0.00,7.93,0.00,11.39,2
SNP162,0.01,1.92,0.00,0.00,1.93,2
SNP163,0.00,12.27,0.12,0.00,12.39,2
