YEARMONTH "MEAN TEMP" PrecipTotalMM
200601 13 5
200602 16.7 0.8
200603 17 3.7
200604 23.5 2.9
200605 32.8 0
200606 37.9 1.7
200607 41.3 4.6
200608 37.7 0
200609 32.8 0
200610 24.3 5.5
200611 18.1 0
200612 10.8 6.2
200701 11.7 0
200702 16.1 12.8
200703 23.3 1.5
200704 26.5 1
200705 32.1 0
200706 37 0
200707 40.8 0
200708 38.9 9.7
200709 32.2 1.2
200710 24.6 0
200711 19.7 0
200712 10.3 5.8
200801 11.2 6
200802 15.5 0.7
200803 20.8 0
200804 25.2 0
200805 29.6 0.3
200806 36.6 0
200807 40 1.3
200808 39.7 0
200809 34.6 0
200810 25.7 0
200811 19.4 15.7
200812 11.2 2.3
200901 14.3 0
200902 14 42.7
200903 19.7 0
200904 24.3 0
200905 34 0
200906 33.6 0.5
200907 40.9 3.7
200908 37.8 0
200909 35.1 0
200910 24.3 0
200911 18.1 0.3
200912 10.6 3.6
201001 11.7 20.6
201002 15 38.1
201003 19.4 0
201004 22.6 11.7
201005 27.3 0
201006 36.1 0
201007 40.5 1.4
201008 37.3 4.7
201009 33.7 0
201010 26.1 1.2
201011 17.4 0.5
201012 12.5 13.4
201101 11.8 1.7
201102 14.4 0
201103 19.8 0.2
201104 24.4 1.4
201105 27.7 3.8
201106 34.6 0
201107 37.9 10.2
201108 38.5 0
201109 34.8 0
201110 26.5 0
201111 15.5 0.4
201112 11.7 0.3
201201 12.7 0.2
201202 16.5 0
201203 19.8 0
201204 26.1 3.3
201205 32.4 0
201206 36.5 0
201207 38.6 6.8
201208 40 7.3
201209 35.5 0
201210 26.1 7.7
201211 18.4 0
201212 12.8 0.8
201301 11.6 2.5
201302 15.7 0
201303 22.9 0
201304 27.1 0
201305 31 6.4
201306 38.1 0
201307 40.2 23.4
201308 37.8 0.3
201309 33.8 0.5
201310 23.5 4.4
201311 17.1 5.7
201312 11.1 1.6
201401 14.3 0
201402 17.1 13.4
201403 22.1 0
201404 26.6 0.4
201405 31.3 2.2
201406 37.1 0
201407 40.3 5.9
201408 36.7 3.4
201409 34.9 1.2
201410 28.1 0
201411 18 1.9
201412 13.2 11.7
201501 14 3.4
201502 19.6 5.7
201503 24.3 0.2
201504 25.8 0
201505 29.1 5.1
201506 38.1 0
201507 37.3 8.4
201508 39.2 0
201509 35 0
201510 27.3 18.8
201511 16 0.3
201512 10.4 0.5
201601 11.8 8.5
201602 18.4 0
201603 21.9 0
201604 26.4 4.3
201605 29.9 0
201606 39.1 2.5
201607 40.2 6.3
201608 39 0
201609 33.1 0
201610 26.6 0
201611 18.8 0.3
201612 11.2 7
201701 12.5 8.5
201702 17 18.8
201703 22.8 0
201704 26.3 0
201705 31.2 1.1
201706 38.3 0
201707 41.6 0
201708 38.9 8.2
201709 32.6 9.3
201710 25.8 0
201711 19.1 0
201712 13.2 0
201801 14.3 8.3
201802 15.7 1.5
201803 20.1 2.8
201804 27.4 0
201805 31.1 0.8
201806 37.9 0
201807 42.1 0.5
201808 39.5 0
201809 35 0
201810 26.3 0
201811 18 0
201812 13.2 0.3
201901 13.3 13.2
201902 12.9 19.5
201903 19.8 18.5
201904 26.9 0.5
201905 27 10.4
201906 36.5 0
201907 39.3 0.2
201908 39.1 0
201909 33.3 0
201910 23.5 0
201911 17.3 3.8
201912 11.6 14.7
202001 12.9 0
202002 16.4 2.4
202003 18.6 7.2
202004 25.1 5.5
202005 32.5 1.1
202006 36.1 0
202007 39.9 0
202008 40.3 2.9
202009 35.1 0
202010 27.9 0
202011 18.1 0
202012 12.4 1.8
202101 13.4 0.6
202102 16.5 0
202103 -9999 2.5
202104 -9999 8.4
202105 -9999 0.2
202106 39.4 0
202107 41 5.9
202108 39.5 0
202109 34.8 0.6
202110 24.1 0
202111 20.4 0
202112 11.7 10.3
202201 13.2 0
202202 16.6 1.5
202203 22 0
202204 26.3 0
202205 30.8 0
202206 36.7 6.8
202207 40.5 2.4
202208 39.6 24.5
202209 35.7 0
202210 27.6 0
202211 15.7 1.4
202212 12.2 1.4
202301 12.6 14.4
202302 14.2 15.4
